age,gender,sleep_hours,daily_steps,exercise_minutes_week,water_intake_liters,stress_level,nutrition_quality,screen_time_hours,wellbeing_score
21 to 35,Female,8,5,135,2.39,1,2,4,628.4
21 to 35,Female,9,8,155,2.42,2,2,9,639.4
36 to 50,Female,7,4,132,1.69,2,3,4,706.2
21 to 35,Male,8,4,192,2.88,2,1,6,684.3
21 to 35,Male,8,6,150,2.54,4,2,7,618.4
Less than 20,Female,6,8,269,3.53,4,4,9,679.6
Less than 20,Male,5,7,124,2.6,3,1,9,665.6
21 to 35,Female,6,5,237,3.93,5,0,8,616.1
51 or more,Female,7,10,178,1.93,4,2,5,608.8
21 to 35,Female,8,10,222,2.17,4,1,4,617.5
21 to 35,Female,8,8,171,2.48,2,5,7,758.2
21 to 35,Male,6,5,230,1.93,3,4,8,672.2
51 or more,Male,10,1,191,3.93,4,2,9,582.1
21 to 35,Male,8,10,138,3.1,2,3,3,731.4
21 to 35,Male,7,9,292,1.53,3,5,8,637.5
36 to 50,Male,7,2,239,2.95,3,0,9,685.4
21 to 35,Female,8,2,178,3.45,0,2,5,585.3
21 to 35,Female,8,5,285,1.63,5,4,2,642.0
36 to 50,Female,8,8,228,2.94,2,2,8,698.7
21 to 35,Male,8,3,215,2.44,4,0,8,638.2
21 to 35,Female,7,10,194,2.95,4,2,4,644.5
21 to 35,Female,6,7,137,2.13,5,5,3,682.8
Less than 20,Male,7,10,112,3.17,2,3,7,698.9
36 to 50,Female,9,9,109,3.18,2,5,2,736.5
51 or more,Female,8,2,282,2.85,4,3,6,563.2
21 to 35,Female,7,5,54,3.81,3,4,6,704.7
51 or more,Female,7,10,80,3.77,3,4,9,688.7
36 to 50,Female,5,7,137,1.62,2,4,5,665.6
36 to 50,Female,8,10,267,2.22,3,3,2,728.0
21 to 35,Female,6,3,215,2.41,4,2,5,597.0
Less than 20,Female,7,7,109,1.64,1,3,2,749.3
Less than 20,Female,7,7,125,2.81,1,3,7,749.3
Less than 20,Female,7,7,179,1.56,1,3,9,749.3
51 or more,Female,8,3,35,3.2,5,4,9,662.0
Less than 20,Male,10,7,51,1.51,4,2,2,690.4
21 to 35,Female,6,7,249,1.58,2,2,8,648.8
36 to 50,Female,3,1,41,3.58,3,5,6,592.6
51 or more,Male,6,5,221,2.13,2,3,9,636.5
51 or more,Female,5,10,254,1.7,1,2,5,688.3
36 to 50,Female,8,10,196,2.5,2,2,6,692.3
36 to 50,Female,8,10,145,1.63,2,2,2,707.6
36 to 50,Female,4,10,177,3.38,1,5,6,766.3
36 to 50,Female,8,4,65,2.74,4,5,5,635.0
51 or more,Female,6,5,274,2.88,2,3,9,643.3
36 to 50,Female,8,6,159,3.38,2,4,5,705.1
Less than 20,Male,7,5,269,3.46,3,4,3,648.6
21 to 35,Female,8,2,134,1.84,3,3,6,641.4
21 to 35,Female,8,2,196,2.2,3,3,3,641.4
36 to 50,Female,6,8,71,1.94,5,4,2,666.0
21 to 35,Female,8,2,283,1.64,3,3,7,641.4
21 to 35,Female,8,2,234,2.84,3,3,6,641.4
21 to 35,Female,8,2,224,2.12,3,3,4,641.4
21 to 35,Female,8,2,200,1.88,3,3,3,641.4
21 to 35,Female,8,2,279,2.78,3,3,5,641.4
21 to 35,Female,8,2,133,3.09,3,3,9,641.4
21 to 35,Female,8,2,68,3.43,3,3,3,641.4
21 to 35,Female,8,2,265,1.54,3,3,6,641.4
21 to 35,Female,8,2,163,2.82,3,3,3,641.4
21 to 35,Female,8,2,281,2.17,3,3,9,641.4
21 to 35,Female,8,2,199,3.98,3,3,9,641.4
21 to 35,Female,8,2,236,1.89,3,3,5,641.4
21 to 35,Female,8,2,172,2.59,3,3,3,641.4
21 to 35,Female,8,2,48,3.93,3,3,3,641.4
21 to 35,Female,8,2,219,2.03,3,3,4,641.4
21 to 35,Female,8,2,93,3.52,3,3,2,641.4
21 to 35,Female,8,2,259,2.11,3,3,8,641.4
21 to 35,Female,8,2,204,1.69,3,3,5,641.4
21 to 35,Female,8,2,49,1.61,3,3,8,641.4
21 to 35,Female,8,2,255,3.87,3,3,9,641.4
21 to 35,Female,8,2,260,2.03,3,3,2,641.4
21 to 35,Female,8,2,130,2.23,3,3,4,641.4
21 to 35,Female,8,2,256,3.92,3,3,9,641.4
21 to 35,Female,8,2,67,3.14,3,3,8,641.4
21 to 35,Female,8,2,94,2.72,3,3,7,641.4
21 to 35,Female,8,2,105,2.59,3,3,7,641.4
21 to 35,Female,7,6,221,1.62,4,4,6,623.3
21 to 35,Female,8,4,152,3.6,4,3,6,643.5
21 to 35,Female,7,6,154,3.41,5,1,4,655.6
36 to 50,Male,7,2,56,1.73,1,3,6,653.1
51 or more,Male,7,6,132,2.38,2,3,6,715.1
21 to 35,Male,7,5,89,3.71,3,5,3,670.7
51 or more,Female,6,6,197,2.09,3,2,8,631.6
21 to 35,Female,8,2,112,3.03,3,3,3,641.4
21 to 35,Female,8,2,35,2.72,3,3,3,641.4
21 to 35,Female,8,2,193,3.55,3,3,7,641.4
21 to 35,Female,8,2,231,1.59,3,3,8,641.4
21 to 35,Female,8,2,206,3.54,3,3,8,641.4
21 to 35,Female,8,2,185,1.84,3,3,4,641.4
21 to 35,Female,8,2,131,1.54,3,3,7,641.4
21 to 35,Female,8,2,109,2.99,3,3,6,641.4
21 to 35,Female,8,2,223,2.15,3,3,8,641.4
21 to 35,Female,8,2,120,3.27,3,3,2,641.4
21 to 35,Female,8,2,96,2.67,3,3,7,641.4
36 to 50,Female,8,10,244,3.01,3,4,5,728.0
21 to 35,Female,9,10,174,3.22,2,5,8,665.3
21 to 35,Female,10,5,69,3.82,4,5,6,693.4
36 to 50,Male,8,8,241,3.56,2,5,8,746.3
51 or more,Female,7,6,88,2.74,3,2,7,693.0
51 or more,Female,7,6,57,2.6,3,2,4,693.0
36 to 50,Male,9,10,76,3.14,0,5,3,767.3
51 or more,Male,8,4,266,3.33,2,4,5,723.4
Less than 20,Male,6,9,146,1.93,2,2,7,708.7
36 to 50,Female,8,2,180,1.58,1,3,5,663.5
21 to 35,Male,6,6,112,2.64,3,2,5,592.5
21 to 35,Female,7,3,86,1.75,4,4,9,631.2
21 to 35,Male,8,3,246,2.18,3,3,2,629.7
51 or more,Male,8,6,249,2.96,4,4,7,623.5
36 to 50,Female,7,5,271,1.88,2,3,9,740.4
51 or more,Female,8,8,128,1.57,3,5,7,719.1
21 to 35,Female,8,2,271,2.89,3,3,8,641.4
21 to 35,Female,8,2,232,2.67,3,3,3,641.4
21 to 35,Female,8,2,66,2.27,3,3,3,641.4
21 to 35,Female,10,2,275,2.67,0,3,3,675.8
21 to 35,Male,8,1,157,3.21,3,5,3,624.2
21 to 35,Male,7,4,164,1.77,4,4,6,583.8
Less than 20,Female,6,3,93,2.14,2,3,5,697.3
21 to 35,Female,5,10,58,3.49,3,1,5,659.4
36 to 50,Female,7,3,255,3.18,2,1,5,673.7
36 to 50,Female,7,10,89,2.17,3,5,8,629.2
51 or more,Female,7,6,83,2.5,1,5,4,681.1
Less than 20,Female,8,8,178,1.8,3,3,3,695.3
36 to 50,Female,9,5,87,2.13,2,5,6,725.5
21 to 35,Female,8,2,65,3.6,5,2,6,598.9
21 to 35,Female,7,5,174,2.6,1,3,7,689.4
21 to 35,Female,7,10,279,3.1,2,1,7,668.3
36 to 50,Male,6,3,109,1.9,4,2,9,688.8
21 to 35,Female,9,5,44,1.96,1,2,4,669.4
21 to 35,Female,5,10,69,3.85,2,1,8,681.5
36 to 50,Female,6,2,110,3.6,5,3,8,714.1
36 to 50,Male,8,6,222,3.48,2,2,4,657.5
51 or more,Female,8,5,195,2.32,4,4,7,703.2
21 to 35,Female,10,2,233,2.91,0,3,7,675.8
21 to 35,Female,6,4,240,2.73,4,4,8,632.9
36 to 50,Female,8,8,287,3.89,3,4,5,717.4
51 or more,Female,6,2,144,2.1,5,1,5,632.5
51 or more,Male,5,9,262,3.87,3,5,5,720.4
Less than 20,Female,6,10,106,3.27,3,1,8,669.8
21 to 35,Male,7,5,125,2.53,3,3,5,631.6
36 to 50,Female,8,5,127,2.17,2,2,7,630.1
Less than 20,Female,9,8,85,3.39,3,3,8,709.1
36 to 50,Female,6,10,147,3.56,3,5,5,681.7
21 to 35,Female,8,8,148,2.39,3,3,7,598.4
21 to 35,Female,8,8,67,1.93,3,3,8,598.4
21 to 35,Male,8,2,214,2.73,4,2,3,656.7
21 to 35,Male,8,2,271,2.67,4,2,9,656.7
21 to 35,Female,8,8,80,3.31,3,4,6,714.0
51 or more,Male,5,3,156,3.93,5,3,9,627.4
51 or more,Female,7,10,132,2.83,2,1,3,758.4
Less than 20,Female,7,3,258,3.33,2,4,6,658.4
Less than 20,Female,10,2,240,2.38,4,2,2,587.4
Less than 20,Female,10,2,114,3.0,4,2,8,587.4
51 or more,Female,5,3,56,1.79,3,3,2,652.9
36 to 50,Female,8,3,101,3.54,3,3,8,622.9
36 to 50,Male,6,8,124,2.36,2,1,2,652.4
51 or more,Female,8,6,105,1.7,3,5,6,623.5
36 to 50,Male,8,1,35,3.98,1,2,4,683.7
51 or more,Female,6,2,119,3.75,4,3,3,605.3
51 or more,Female,5,2,109,1.99,2,4,4,647.6
21 to 35,Female,8,4,251,2.41,5,2,6,704.7
36 to 50,Female,7,8,112,3.84,2,5,5,758.0
Less than 20,Male,10,10,111,3.49,0,5,4,719.9
51 or more,Female,5,6,181,3.77,2,2,8,675.6
51 or more,Male,6,5,74,2.91,3,5,6,629.7
21 to 35,Female,7,7,241,2.11,3,2,2,698.3
51 or more,Female,6,1,100,2.07,3,1,5,608.5
21 to 35,Male,7,8,292,2.81,4,4,2,741.0
21 to 35,Male,7,8,87,3.81,4,4,8,741.0
21 to 35,Male,7,7,86,3.08,4,4,4,745.9
21 to 35,Male,6,8,140,1.59,2,3,4,642.2
Less than 20,Male,10,10,171,2.9,0,5,3,719.9
21 to 35,Male,8,2,85,3.02,2,2,8,704.3
51 or more,Male,5,1,41,2.95,5,5,3,679.7
21 to 35,Male,8,3,44,3.23,2,1,6,690.9
21 to 35,Male,8,3,37,2.23,4,2,7,633.1
51 or more,Female,5,3,260,1.86,5,0,4,617.2
21 to 35,Female,7,6,215,3.38,2,2,2,713.4
Less than 20,Female,7,5,82,1.99,3,5,3,670.7
Less than 20,Female,7,5,166,1.79,3,5,2,670.7
21 to 35,Female,8,6,203,2.4,3,4,6,677.9
21 to 35,Female,8,6,248,3.58,3,4,7,677.9
21 to 35,Female,8,6,292,1.71,3,4,2,677.9
21 to 35,Male,6,6,284,1.99,2,4,2,662.2
36 to 50,Female,8,8,299,2.69,4,3,8,695.3
36 to 50,Female,7,5,104,2.22,1,3,9,699.6
51 or more,Male,5,4,253,3.3,1,5,5,688.8
36 to 50,Male,7,8,121,3.19,5,5,6,695.1
21 to 35,Male,4,8,163,3.61,4,3,7,614.6
36 to 50,Female,8,10,192,2.01,1,5,9,772.2
21 to 35,Male,4,8,227,3.12,4,3,3,614.6
21 to 35,Female,5,3,218,3.44,3,3,5,630.8
51 or more,Female,9,2,102,1.66,4,2,4,672.2
36 to 50,Female,7,7,235,1.59,2,2,4,710.2
51 or more,Female,10,4,60,2.9,3,5,3,700.0
21 to 35,Female,8,10,148,2.97,5,4,7,602.2
21 to 35,Male,8,8,188,2.48,3,3,8,630.7
21 to 35,Female,6,4,284,1.59,2,2,7,639.7
36 to 50,Female,7,4,274,2.5,3,5,6,689.2
36 to 50,Male,8,3,135,3.11,2,3,4,682.4
36 to 50,Female,7,4,227,3.25,3,5,4,694.3
36 to 50,Female,7,5,149,2.73,4,4,8,628.2
36 to 50,Female,6,1,111,2.81,2,1,4,686.7
21 to 35,Male,8,7,299,3.18,4,5,6,713.8
21 to 35,Female,6,2,216,2.62,2,5,4,632.5
21 to 35,Female,6,2,81,2.16,2,5,8,632.5
21 to 35,Female,6,10,97,2.06,4,5,3,681.7
36 to 50,Male,7,4,163,3.38,1,4,8,718.1
51 or more,Male,7,1,149,2.72,1,4,9,641.0
36 to 50,Male,4,9,86,3.06,5,0,3,633.5
21 to 35,Female,7,6,215,2.68,2,3,3,691.3
36 to 50,Female,7,7,101,3.55,4,5,5,684.7
36 to 50,Female,6,2,187,2.74,1,2,3,705.6
36 to 50,Female,8,4,257,3.97,5,3,2,629.9
36 to 50,Female,7,10,263,2.11,4,3,4,721.0
51 or more,Male,7,1,40,1.85,5,1,8,574.7
36 to 50,Female,6,8,204,2.43,3,2,3,606.5
21 to 35,Female,9,5,290,3.8,2,2,8,645.6
21 to 35,Female,9,5,160,3.63,2,2,7,645.6
Less than 20,Female,7,5,31,2.12,2,2,8,650.3
21 to 35,Female,8,7,278,3.0,1,5,7,735.9
21 to 35,Female,8,7,229,2.97,1,5,7,735.9
21 to 35,Male,7,10,211,2.23,4,1,7,664.9
21 to 35,Female,7,3,156,2.09,3,2,6,663.5
36 to 50,Male,7,10,226,2.48,4,4,7,732.9
21 to 35,Female,8,10,73,3.47,3,3,6,660.0
36 to 50,Male,7,6,39,1.98,4,3,6,591.0
21 to 35,Female,6,5,254,2.61,3,4,5,714.7
21 to 35,Female,9,1,245,2.7,5,1,7,547.9
Less than 20,Female,8,3,240,3.85,3,3,6,660.3
Less than 20,Male,8,7,246,2.26,1,3,5,657.7
36 to 50,Female,8,2,78,1.55,5,4,4,598.9
21 to 35,Male,6,10,192,3.23,3,1,2,676.6
21 to 35,Female,9,1,222,3.39,5,1,6,547.9
21 to 35,Female,6,3,174,3.26,1,2,6,602.1
21 to 35,Male,7,1,188,3.25,2,2,5,692.0
51 or more,Male,7,10,209,2.71,4,3,5,615.6
51 or more,Female,7,8,55,1.55,3,4,2,664.5
21 to 35,Female,8,3,129,3.32,2,2,3,726.6
36 to 50,Female,7,6,140,3.84,2,2,5,643.7
Less than 20,Female,6,3,299,1.89,4,1,9,585.1
Less than 20,Female,6,6,80,1.67,5,2,8,594.2
21 to 35,Female,9,1,44,2.16,5,1,8,547.9
51 or more,Female,8,1,157,3.62,5,4,2,632.7
21 to 35,Female,8,8,169,1.77,5,1,4,581.4
21 to 35,Male,7,4,271,3.29,1,3,7,663.7
21 to 35,Female,8,5,75,1.66,3,3,6,710.0
36 to 50,Male,7,8,263,1.58,4,4,6,608.4
51 or more,Female,7,10,101,3.73,5,5,9,741.4
21 to 35,Male,9,7,124,3.43,4,3,2,629.0
Less than 20,Female,7,7,161,3.0,2,3,8,735.7
Less than 20,Male,8,10,61,1.93,4,2,2,661.7
51 or more,Female,7,8,66,2.2,4,4,6,693.4
21 to 35,Female,8,3,155,1.62,5,4,8,685.8
36 to 50,Female,8,8,167,3.11,3,4,5,647.7
36 to 50,Female,8,3,129,3.22,2,3,3,701.1
21 to 35,Male,7,4,271,2.32,1,3,4,663.7
51 or more,Female,8,7,274,2.35,1,4,3,795.4
36 to 50,Male,6,3,56,3.07,3,2,3,627.6
Less than 20,Male,7,3,238,3.86,5,1,3,619.3
Less than 20,Male,6,2,128,2.49,5,1,6,601.9
21 to 35,Male,8,5,166,2.73,2,0,3,606.3
36 to 50,Female,7,6,216,3.25,1,2,5,744.0
21 to 35,Male,8,5,65,2.36,2,0,5,606.3
36 to 50,Female,7,1,147,3.67,2,2,5,649.5
36 to 50,Female,8,8,187,3.62,1,4,2,697.0
21 to 35,Male,6,7,198,3.19,0,5,4,676.0
21 to 35,Male,8,4,84,2.84,0,1,5,708.1
21 to 35,Female,8,3,113,3.96,3,3,3,668.8
21 to 35,Female,8,5,35,3.26,3,1,2,626.7
21 to 35,Female,5,4,285,3.11,4,2,6,597.0
36 to 50,Male,6,2,227,3.69,1,2,5,676.7
21 to 35,Female,6,10,181,2.89,3,1,3,657.9
21 to 35,Male,8,10,199,2.11,1,1,3,670.2
51 or more,Female,8,8,277,1.84,1,5,9,710.6
21 to 35,Male,7,6,278,2.68,2,3,7,631.8
21 to 35,Female,8,2,179,2.79,3,2,6,614.2
21 to 35,Male,7,5,239,3.57,2,1,2,601.0
21 to 35,Male,9,6,257,1.85,3,2,9,666.2
21 to 35,Male,8,2,273,3.2,1,3,3,704.3
51 or more,Female,7,3,170,2.26,2,3,4,663.5
21 to 35,Female,4,3,149,3.85,1,1,5,611.9
21 to 35,Female,4,3,209,2.68,1,1,2,611.9
Less than 20,Male,5,4,154,3.06,1,2,5,632.7
51 or more,Female,4,3,271,3.13,2,4,5,634.0
Less than 20,Female,4,3,241,1.73,4,3,6,671.4
36 to 50,Female,5,2,46,3.63,1,4,4,666.3
36 to 50,Female,8,2,45,1.91,3,0,9,612.5
21 to 35,Female,7,7,286,2.49,3,4,4,693.2
36 to 50,Male,8,1,75,3.18,3,1,8,637.8
36 to 50,Female,8,3,287,1.64,1,3,6,597.4
51 or more,Female,10,3,172,2.95,5,3,9,659.0
51 or more,Female,9,4,42,2.52,4,5,5,665.8
Less than 20,Male,8,2,74,1.66,2,0,4,631.2
Less than 20,Female,8,3,76,3.32,4,1,5,660.3
Less than 20,Male,8,6,45,2.75,2,2,8,652.4
36 to 50,Female,8,5,136,2.26,4,4,2,609.7
21 to 35,Male,5,7,32,1.71,5,2,6,631.6
51 or more,Female,5,3,133,2.87,5,1,6,569.6
21 to 35,Male,6,10,124,2.26,4,0,4,625.6
51 or more,Female,7,7,162,3.87,4,5,9,725.5
21 to 35,Male,8,8,230,2.98,3,5,9,671.5
36 to 50,Female,8,7,283,2.21,2,4,7,718.9
51 or more,Female,7,10,212,2.82,3,3,7,702.3
36 to 50,Male,8,5,179,2.85,2,4,2,664.1
51 or more,Female,8,2,66,3.32,2,3,5,612.5
36 to 50,Female,7,10,168,3.76,3,5,4,775.4
Less than 20,Male,6,4,129,3.91,2,2,8,651.6
51 or more,Male,6,6,265,3.29,4,4,8,735.3
36 to 50,Female,7,10,113,2.86,0,3,5,726.1
51 or more,Female,7,4,62,2.06,4,3,9,651.8
51 or more,Male,8,3,150,2.51,4,2,2,605.9
51 or more,Male,6,6,59,2.72,4,4,3,735.3
51 or more,Male,6,6,63,1.82,4,4,9,735.3
21 to 35,Female,10,1,162,2.14,3,3,4,680.7
21 to 35,Male,7,8,237,3.96,3,4,9,669.6
36 to 50,Male,4,6,169,3.39,3,4,7,658.4
36 to 50,Male,4,6,105,2.71,3,4,7,658.4
51 or more,Female,7,2,104,2.07,4,5,4,716.0
51 or more,Female,7,5,87,2.93,3,5,6,721.7
21 to 35,Male,7,10,127,2.08,4,3,3,642.8
Less than 20,Female,8,1,154,1.98,3,3,7,644.6
51 or more,Female,6,6,163,1.73,4,2,7,663.9
21 to 35,Male,7,8,255,2.36,1,4,7,684.9
21 to 35,Female,6,4,229,2.85,3,1,7,649.9
21 to 35,Female,7,3,66,1.9,2,1,9,644.8
36 to 50,Female,9,10,167,2.0,3,5,4,719.7
51 or more,Female,7,4,237,2.48,3,5,5,685.8
36 to 50,Male,7,4,223,2.72,3,3,2,662.0
36 to 50,Male,6,1,85,3.41,3,0,3,628.9
51 or more,Female,6,5,116,2.92,4,2,6,626.3
36 to 50,Female,7,7,124,3.04,3,4,6,684.7
36 to 50,Female,8,4,225,3.24,3,3,8,721.7
Less than 20,Female,4,5,221,2.63,1,3,5,705.8
21 to 35,Female,7,2,173,2.36,3,2,2,704.1
21 to 35,Female,8,8,39,3.5,4,2,6,635.8
21 to 35,Female,8,8,270,3.57,3,2,6,629.0
51 or more,Female,8,10,178,1.88,3,5,2,704.2
Less than 20,Male,6,10,169,3.88,3,2,3,685.1
21 to 35,Female,7,10,42,3.82,3,4,4,629.2
21 to 35,Female,8,10,283,3.68,2,5,4,787.5
Less than 20,Female,7,7,110,2.56,3,3,8,684.7
51 or more,Female,7,5,239,3.61,1,3,2,623.1
21 to 35,Male,3,5,249,3.07,5,1,2,678.4
21 to 35,Female,6,8,88,2.01,3,2,7,730.6
21 to 35,Female,8,4,157,3.44,1,3,2,646.9
21 to 35,Female,7,7,291,2.52,1,4,5,722.1
51 or more,Male,7,10,297,2.23,1,5,5,729.5
51 or more,Male,6,10,58,3.7,1,5,2,758.2
36 to 50,Female,9,10,97,3.66,3,5,5,736.7
21 to 35,Female,6,2,236,3.66,3,2,9,598.5
36 to 50,Male,8,2,204,3.65,4,1,4,617.6
36 to 50,Female,6,1,247,2.89,4,3,2,637.4
21 to 35,Female,9,4,189,3.04,2,1,4,698.1
36 to 50,Female,7,6,273,3.87,5,5,9,664.1
21 to 35,Female,6,4,282,1.82,3,1,4,649.9
36 to 50,Female,7,5,218,3.52,2,3,5,631.6
21 to 35,Female,7,1,290,2.82,5,1,8,651.2
21 to 35,Male,8,3,159,3.95,2,4,6,673.9
21 to 35,Female,6,4,32,3.1,1,3,9,639.7
21 to 35,Female,6,4,72,1.91,1,3,6,639.7
21 to 35,Female,6,4,162,3.54,1,3,3,639.7
21 to 35,Female,7,6,207,3.18,3,2,9,676.0
36 to 50,Male,6,10,295,1.87,5,3,8,656.2
51 or more,Male,7,2,53,1.52,2,2,3,651.4
51 or more,Female,8,7,51,2.86,4,4,6,729.1
36 to 50,Male,8,5,32,2.1,1,2,2,721.9
21 to 35,Female,8,8,187,3.67,2,5,6,731.0
36 to 50,Female,8,2,33,2.13,3,1,7,641.4
36 to 50,Female,8,2,136,3.16,2,2,5,648.2
36 to 50,Female,8,5,261,2.36,4,5,9,708.3
Less than 20,Female,8,7,267,2.38,4,2,6,667.9
51 or more,Female,7,5,101,1.95,3,5,2,699.6
51 or more,Female,6,2,117,2.76,5,1,2,578.1
Less than 20,Female,7,5,45,2.95,3,2,3,645.2
51 or more,Female,9,10,120,2.95,1,5,3,772.4
51 or more,Female,7,5,49,3.64,3,1,2,708.1
36 to 50,Female,7,10,241,3.13,2,5,4,722.7
21 to 35,Female,10,2,113,3.35,2,2,9,594.2
36 to 50,Female,8,4,155,2.31,3,5,7,653.7
21 to 35,Female,8,9,80,2.55,2,3,9,695.5
21 to 35,Female,7,2,47,1.55,4,1,3,648.0
36 to 50,Male,10,5,146,1.7,3,5,8,780.1
36 to 50,Female,8,10,153,2.46,3,2,7,733.1
36 to 50,Male,8,4,57,2.02,4,5,5,662.2
51 or more,Male,7,2,170,3.53,0,5,4,620.8
21 to 35,Male,6,3,35,3.19,3,3,8,637.8
36 to 50,Female,6,4,186,3.93,5,2,8,690.7
Less than 20,Female,10,7,135,3.72,3,2,8,719.3
21 to 35,Female,9,10,148,3.94,1,5,5,774.1
Less than 20,Male,8,3,166,2.41,3,2,8,663.7
51 or more,Female,8,4,58,2.71,2,4,5,704.7
Less than 20,Male,6,1,195,2.43,5,5,7,622.1
21 to 35,Male,8,2,94,3.91,1,5,9,656.7
21 to 35,Male,8,7,85,2.51,2,2,2,673.0
Less than 20,Female,9,3,125,1.79,2,2,4,675.8
Less than 20,Female,9,3,244,2.13,2,2,9,665.6
36 to 50,Female,5,2,260,2.56,3,1,3,601.7
21 to 35,Female,10,10,87,3.01,3,1,2,697.8
36 to 50,Female,8,10,213,3.05,2,4,6,721.2
36 to 50,Male,7,3,238,3.4,5,0,3,563.2
21 to 35,Male,6,6,192,3.12,2,1,6,670.7
36 to 50,Male,8,5,118,2.73,1,4,2,721.9
51 or more,Male,6,7,126,1.58,1,2,5,735.5
51 or more,Male,6,1,104,3.24,1,4,8,668.0
21 to 35,Female,6,6,117,1.71,3,0,5,667.3
36 to 50,Female,8,10,35,2.67,2,4,4,728.0
51 or more,Female,8,4,185,3.74,2,5,9,723.4
Less than 20,Female,7,4,92,2.99,2,4,3,677.3
Less than 20,Female,7,4,58,2.0,2,4,8,677.3
36 to 50,Male,6,3,220,3.52,4,5,6,646.3
36 to 50,Female,5,4,233,2.25,2,5,6,676.9
51 or more,Female,5,4,56,2.94,3,1,9,634.4
Less than 20,Male,8,6,114,3.09,1,1,4,672.8
Less than 20,Male,8,6,239,3.33,1,1,7,672.8
51 or more,Female,5,4,167,1.66,3,5,7,671.8
21 to 35,Female,9,1,201,3.64,4,2,8,598.9
21 to 35,Male,7,8,185,1.78,1,5,3,768.2
Less than 20,Female,8,4,258,1.74,3,3,5,652.0
Less than 20,Female,9,5,208,2.64,4,4,7,683.0
Less than 20,Female,6,2,276,2.43,3,4,2,607.0
21 to 35,Female,7,7,191,1.64,2,3,4,669.4
Less than 20,Female,8,2,192,1.92,4,1,8,656.7
21 to 35,Female,5,7,247,2.6,5,2,2,619.7
36 to 50,Female,7,6,105,3.57,4,4,2,703.2
21 to 35,Female,7,1,233,1.8,5,3,8,635.9
21 to 35,Male,6,6,245,1.76,2,1,4,633.3
51 or more,Female,5,3,252,3.51,2,5,6,678.4
36 to 50,Male,7,10,222,2.73,4,2,3,721.0
21 to 35,Male,5,3,221,2.4,0,1,9,681.8
21 to 35,Male,6,6,298,2.65,2,4,6,674.1
21 to 35,Female,6,10,289,2.53,3,3,5,739.5
Less than 20,Male,8,4,221,3.45,1,0,3,655.4
Less than 20,Female,8,4,133,1.52,3,3,8,694.5
21 to 35,Male,7,8,233,2.58,2,5,4,650.9
51 or more,Male,7,6,213,1.9,3,2,8,602.9
21 to 35,Female,8,1,246,2.27,3,0,4,602.1
36 to 50,Female,7,6,120,1.78,4,4,4,621.6
36 to 50,Male,8,10,227,2.57,1,3,2,671.9
36 to 50,Male,6,6,68,3.11,4,2,8,708.1
21 to 35,Female,7,8,226,3.15,2,2,9,683.2
36 to 50,Male,8,5,108,3.49,5,5,4,585.9
21 to 35,Male,5,8,246,3.54,3,1,5,710.0
36 to 50,Female,6,2,123,2.99,5,3,5,634.2
21 to 35,Female,7,10,201,2.38,3,4,4,620.7
21 to 35,Female,8,5,72,1.63,5,2,8,631.8
36 to 50,Male,6,6,161,1.59,5,2,3,578.9
21 to 35,Female,8,8,106,1.78,1,5,8,734.4
36 to 50,Female,6,3,261,3.96,4,1,5,654.8
51 or more,Male,7,2,68,3.46,2,5,3,716.0
Less than 20,Female,8,2,83,2.51,3,2,9,670.3
51 or more,Male,9,1,180,2.67,2,4,3,717.9
36 to 50,Female,6,10,217,3.34,5,5,9,710.6
36 to 50,Female,7,10,215,2.79,3,5,8,714.2
Less than 20,Male,6,5,164,2.4,3,2,3,641.6
21 to 35,Female,5,2,202,2.37,1,2,9,637.4
36 to 50,Female,8,5,298,2.02,2,5,4,631.8
21 to 35,Male,8,1,144,3.71,2,5,7,712.6
21 to 35,Female,7,1,250,2.54,2,2,2,671.6
36 to 50,Male,6,6,68,3.38,5,2,8,578.9
51 or more,Female,6,6,271,2.93,5,4,9,658.8
21 to 35,Male,8,1,250,3.39,2,5,4,712.6
21 to 35,Male,10,2,175,2.3,3,3,5,624.8
36 to 50,Female,9,9,193,3.38,3,3,5,745.0
36 to 50,Male,8,5,288,3.47,3,2,5,686.2
36 to 50,Female,8,2,219,1.76,5,2,5,687.3
Less than 20,Male,8,6,293,1.73,1,1,7,696.6
21 to 35,Female,7,10,251,3.96,4,4,2,698.9
36 to 50,Male,8,7,203,1.79,1,3,8,678.1
Less than 20,Male,6,2,121,3.21,4,2,9,637.6
Less than 20,Male,6,2,135,3.37,5,1,7,651.2
21 to 35,Female,8,10,274,1.66,1,5,3,731.4
21 to 35,Female,7,4,72,3.37,2,1,9,648.4
51 or more,Male,7,5,287,2.55,2,3,4,711.5
36 to 50,Female,7,1,115,2.19,3,4,5,659.7
51 or more,Female,8,7,126,3.16,2,3,3,712.1
21 to 35,Male,5,3,295,3.58,2,2,4,676.7
21 to 35,Male,8,2,92,2.93,0,1,2,600.6
36 to 50,Female,9,8,132,3.68,1,4,6,727.8
21 to 35,Male,5,7,283,1.56,1,3,2,650.3
21 to 35,Male,7,8,30,3.35,3,5,6,727.4
21 to 35,Female,7,10,183,1.92,4,4,5,698.9
51 or more,Female,8,7,290,2.22,1,5,3,700.2
21 to 35,Male,5,5,64,2.93,3,3,7,649.9
36 to 50,Male,5,5,56,2.19,3,3,3,641.4
